Province,Electoral District Name,Electoral District Number,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Winning Party
Quebec,Bourassa,24015,101032,70287,187,40351,97.6,1009,2.4,41360,58.8,Liberal
Quebec,Brome--Missisquoi,24016,103457,89334,264,61441,98.5,962,1.5,62403,69.9,Liberal
Quebec,Brossard--Saint-Lambert,24017,107582,83716,221,56652,98.9,657,1.1,57309,68.5,Liberal
Quebec,Charlesbourg--Haute-Saint-Charles,24019,107254,85926,227,59096,97.9,1264,2.1,60360,70.2,Conservative
Quebec,Châteauguay--Lacolle,24021,97887,78384,218,52402,98,1071,2,53473,68.2,Liberal
Quebec,Chicoutimi--Le Fjord,24022,81639,65747,184,43881,97.9,925,2.1,44806,68.1,Conservative
Quebec,Compton--Stanstead,24023,105459,84913,267,58237,98.3,988,1.7,59225,69.7,Liberal
Quebec,Dorval--Lachine--LaSalle,24024,112866,85550,228,52574,98.5,788,1.5,53362,62.4,Liberal
Quebec,Drummond,24025,103397,84074,239,54824,98,1126,2,55950,66.5,BQ
Quebec,Gaspésie--Les Îles-de-la-Madeleine,24026,75850,64919,212,38380,98,783,2,39163,60.3,Liberal
Quebec,Gatineau,24027,107464,84667,230,55783,98.6,787,1.4,56570,66.8,Liberal
Quebec,Hochelaga,24028,106496,82881,217,53037,98.3,907,1.7,53944,65.1,Liberal
Quebec,Honoré-Mercier,24029,103592,78850,207,50363,98,1013,2,51376,65.2,Liberal
Quebec,Hull--Aylmer,24030,105419,79609,213,54993,98.8,692,1.2,55685,69.9,Liberal
Quebec,Joliette,24031,104136,89118,269,57699,98,1203,2,58902,66.1,BQ
Quebec,Jonquière,24032,89818,72961,208,49367,98,999,2,50366,69,BQ
Quebec,La Pointe-de-l'Île,24033,106336,85843,241,55534,98,1141,2,56675,66,BQ
Quebec,La Prairie,24034,105496,87062,202,61553,98.6,886,1.4,62439,71.7,BQ
