Province,Electoral District Name,Electoral District Number,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Winning Party
Newfoundland and Labrador,Avalon,10001,86494,70341,211,41334,99,397,1,41731,59.3,Liberal
Newfoundland and Labrador,Bonavista--Burin--Trinity,10002,74116,60166,258,32179,98.1,609,1.9,32788,54.5,Liberal
Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,10003,77680,63639,229,34182,97.8,770,2.2,34952,54.9,Liberal
Newfoundland and Labrador,Labrador,10004,27197,20184,85,11419,98.8,139,1.2,11558,57.3,Liberal
Newfoundland and Labrador,Long Range Mountains,10005,86553,70688,248,38426,98.5,576,1.5,39002,55.2,Liberal
Newfoundland and Labrador,St. John's East/St. John's-Est,10006,85697,67406,180,45072,98.8,528,1.2,45600,67.6,NDP
Newfoundland and Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,81979,67643,183,40666,98.6,592,1.4,41258,61,Liberal
Prince Edward Island,Cardigan,11001,36615,29869,88,22167,99,232,1,22399,75,Liberal
Prince Edward Island,Charlottetown,11002,36094,27719,75,19910,98.6,274,1.4,20184,72.8,Liberal
Prince Edward Island,Egmont,11003,34168,28557,88,20178,98.7,274,1.3,20452,71.6,Liberal
Prince Edward Island,Malpeque,11004,36030,30576,89,23039,98.8,288,1.2,23327,76.3,Liberal
Nova Scotia,Cape Breton--Canso,12001,71913,60699,214,42940,98.6,601,1.4,43541,71.7,Liberal
Nova Scotia,Central Nova/Nova-Centre,12002,71962,60955,228,44470,99.1,412,0.9,44882,73.6,Liberal
Nova Scotia,Cumberland--Colchester,12003,80590,66967,218,45450,99,447,1,45897,68.5,Liberal
Nova Scotia,Dartmouth--Cole Harbour,12004,92301,77390,196,53499,99.3,404,0.7,53903,69.7,Liberal
Nova Scotia,Halifax,12005,94610,76843,199,55752,99.4,361,0.6,56113,73,Liberal
Nova Scotia,Halifax West/Halifax-Ouest,12006,96255,77531,223,54357,99.2,465,0.8,54822,70.7,Liberal
Nova Scotia,Kings--Hants,12007,83465,70332,221,48036,99.3,327,0.7,48363,68.8,Liberal
Nova Scotia,Sackville--Preston--Chezzetcook,12008,86498,71759,194,49537,99.4,320,0.6,49857,69.5,Liberal
Nova Scotia,South Shore--St. Margarets,12009,91830,78470,258,52518,99.2,439,0.8,52957,67.5,Liberal
Nova Scotia,Sydney--Victoria,12010,72148,60322,194,40565,98.7,528,1.3,41093,68.1,Liberal
Nova Scotia,West Nova/Nova-Ouest,12011,82026,70143,227,46798,98.9,512,1.1,47310,67.4,Conservative
New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,13001,77791,66937,233,48143,98.1,924,1.9,49067,73.3,Liberal
New Brunswick/Nouveau-Brunswick,Beauséjour,13002,82292,70361,219,53685,99.1,475,0.9,54160,77,Liberal
New Brunswick/Nouveau-Brunswick,Fredericton,13003,83303,66606,156,49409,99.4,301,0.6,49710,74.6,Green
New Brunswick/Nouveau-Brunswick,Fundy Royal,13004,79943,65543,196,48646,99.3,349,0.7,48995,74.8,Conservative
New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,13005,60378,50828,154,34469,98.1,657,1.9,35126,69.1,Liberal
New Brunswick/Nouveau-Brunswick,Miramichi--Grand Lake,13006,57405,48570,161,34598,98.5,517,1.5,35115,72.3,Liberal
New Brunswick/Nouveau-Brunswick,Moncton--Riverview--Dieppe,13007,92666,75006,189,51828,99.2,396,0.8,52224,69.6,Liberal
